country,country_code,iso2,source,Date,Song,Artist,songID,youtube_songID,youtube_videoID,youtube_video_type,youtube_search_match_score,youtube_title,youtube_duration
South Korea,KOR,KR,Melon Chart,2003,인연,노을,인연₩노을,인연₩노을,Wy39NId6da8,youtube music,1.0,인연,
South Korea,KOR,KR,Melon Chart,1998,사랑만들기,엔알지,사랑만들기₩엔알지,사랑만들기₩엔알지,RTFl-un6x8k,youtube music,1.0,사랑만들기,
South Korea,KOR,KR,Melon Chart,2009,Diva,애프터스쿨,diva₩애프터스쿨,DIVA₩애프터스쿨,CveilV83S7U,youtube music,1.0,DIVA,
South Korea,KOR,KR,Melon Chart,1973,돌아와,박우철,돌아와₩박우철,돌아와₩박우철,4xLycEAam_Q,youtube music,1.0,돌아와,
South Korea,KOR,KR,Melon Chart,1995,살다보면,권진원,살다보면₩권진원,살다보면₩권진원,ZUOk9byoZaU,youtube music,1.0,살다보면,
South Korea,KOR,KR,Melon Chart,2005,Tonight,홍경민,tonight₩홍경민,Tonight₩SPICA,c6QFLNlIgsw,youtube music,0.64,Tonight,220.0
South Korea,KOR,KR,Melon Chart,1979,한동안 뜸 했었지,사랑과 평화,한동안 뜸 했었지₩사랑과 평화,한동안 뜸 했었지₩사랑과 평화,MyBhKjgOFlY,youtube music,1.0,한동안 뜸 했었지,
South Korea,KOR,KR,Melon Chart,1972,모닥불,박인희,모닥불₩박인희,모닥불₩박인희,JJUP6cnn2fw,youtube music,1.0,모닥불,
South Korea,KOR,KR,Melon Chart,2009,결혼해 줄래 (Feat. Bizniz),이승기,결혼해 줄래 (feat. bizniz)₩이승기,Lee Seung Gi (이승기) - Will You Marry Me.. (결혼해줄래)₩J.S Lee,g7cG4AThdsc,youtube video,0.2,Lee Seung Gi (이승기) - Will You Marry Me.. (결혼해줄래),231.0
South Korea,KOR,KR,Melon Chart,2006,하고싶은 말,김태우,하고싶은 말₩김태우,하고 싶은 말₩김태우,5YMGUBnHraE,youtube music,0.84,하고 싶은 말,
South Korea,KOR,KR,Melon Chart,1999,신부에게,유리상자,신부에게₩유리상자,신부에게₩유리상자,4chelyBIZNk,youtube music,1.0,신부에게,
South Korea,KOR,KR,Melon Chart,1994,약한 남자,듀스,약한 남자₩듀스,약한남자₩듀스,yMSMF0Le-Ak,youtube music,0.77,약한남자,
South Korea,KOR,KR,Melon Chart,1986,건널수 없는 강,한영애,건널수 없는 강₩한영애,건널수 없는 강₩이정선,MgTPugxoORg,youtube music,0.73,건널수 없는 강,213.0
South Korea,KOR,KR,Melon Chart,1978,순이 생각,물레방아,순이 생각₩물레방아,순이 생각 | 물레방아₩올겐자리,KC6JZHPDaII,youtube video,0.72,순이 생각 | 물레방아,176.0
South Korea,KOR,KR,Melon Chart,1982,꿈을 먹는 젊은이,남궁옥분,꿈을 먹는 젊은이₩남궁옥분,꿈을 먹는 젊은이₩남궁옥분,tYFnWUYGSdE,youtube music,1.0,꿈을 먹는 젊은이,
South Korea,KOR,KR,Melon Chart,1992,하룻밤의 꿈,이상우,하룻밤의 꿈₩이상우,하룻밤의 꿈₩이상우,2g2FwTQ8GDM,youtube music,1.0,하룻밤의 꿈,
South Korea,KOR,KR,Melon Chart,1986,추억의 밤,이치현,추억의 밤₩이치현,추억의 밤₩이치현,H2WJs3CcE_k,youtube music,1.0,추억의 밤,
South Korea,KOR,KR,Melon Chart,1996,운명,신승훈,운명₩신승훈,운명₩신승훈,uN97lTxJDHc,youtube music,1.0,운명,
South Korea,KOR,KR,Melon Chart,2003,고백하는 날,이기찬,고백하는 날₩이기찬,고백하는 날₩이기찬,jetVZSKrhfI,youtube music,1.0,고백하는 날,
South Korea,KOR,KR,Melon Chart,1987,나홀로 뜰 앞에서,김완선,나홀로 뜰 앞에서₩김완선,나홀로 뜰 앞에서₩김완선,45ajF1GyF6s,youtube music,1.0,나홀로 뜰 앞에서,
South Korea,KOR,KR,Melon Chart,1971,꽃동네 새동네,정훈희,꽃동네 새동네₩정훈희,꽃동네 새동네₩정훈희,cXnTzYxEKHY,youtube music,1.0,꽃동네 새동네,
South Korea,KOR,KR,Melon Chart,2009,사랑해 (Feat. 유리상자 박승화),Sg 워너비,사랑해 (feat. 유리상자 박승화)₩sg 워너비,사랑해 (feat. 유리상자 박승화)₩SG WANNABE,ZosElD8PdWQ,youtube music,0.82,사랑해 (feat. 유리상자 박승화),
South Korea,KOR,KR,Melon Chart,1984,고니,이태원,고니₩이태원,고니₩이태원,B_PqVNuweiY,youtube music,1.0,고니,
South Korea,KOR,KR,Melon Chart,2004,사람찾기,유리상자,사람찾기₩유리상자,사람찾기₩유리상자,kznMEtC3ork,youtube music,1.0,사람찾기,
South Korea,KOR,KR,Melon Chart,1994,마법의 성,더 클래식,마법의 성₩더 클래식,더 클래식 - 마법의 성 (1994) 꼬마버젼.₩pops8090,aP8lYrd5QMY,youtube video,0.41,더 클래식 - 마법의 성 (1994) 꼬마버젼.,286.0
South Korea,KOR,KR,Melon Chart,1999,Gimme! Gimme!,컨츄리 꼬꼬,gimme! gimme!₩컨츄리 꼬꼬,[AUDIO] 컨츄리꼬꼬 - Gimme! Gimme!₩Magictwinzleeplay,FDYJzsIlV4s,youtube video,0.52,[AUDIO] 컨츄리꼬꼬 - Gimme! Gimme!,239.0
South Korea,KOR,KR,Melon Chart,1992,한번 더 생각해봐요,양수경,한번 더 생각해봐요₩양수경,한번 더 생각해봐요₩양수경,pD_GZsVuWjk,youtube music,1.0,한번 더 생각해봐요,
South Korea,KOR,KR,Melon Chart,1994,오래전 그날,윤종신,오래전 그날₩윤종신,오래전 그날₩윤종신,onpgt7YzGiw,youtube music,1.0,오래전 그날,
South Korea,KOR,KR,Melon Chart,1988,그대 만을,이광조,그대 만을₩이광조,그대만을₩이광조,R6CcstahKzM,youtube music,0.8,그대만을,
South Korea,KOR,KR,Melon Chart,1985,사랑의 눈동자,유익종,사랑의 눈동자₩유익종,사랑의 눈동자₩유익종,1cMrDMiu6pY,youtube music,1.0,사랑의 눈동자,
South Korea,KOR,KR,Melon Chart,1968,서울이여 안녕,이미자,서울이여 안녕₩이미자,서울이여 안녕₩이미자,TVV86gCi-EQ,youtube music,1.0,서울이여 안녕,
South Korea,KOR,KR,Melon Chart,1987,새벽새,높은음자리,새벽새₩높은음자리,새벽새₩높은음자리,XLpdsPq95UI,youtube music,1.0,새벽새,
South Korea,KOR,KR,Melon Chart,2003,결혼을 할 거라면,쿨 (Cool),결혼을 할 거라면₩쿨 (cool),결혼을 할 거라면₩쿨 (Cool),f_N7RvnfG1Y,youtube music,1.0,결혼을 할 거라면,
