Date,Song,Artist,query_idx,official,topic,channel_artist_same,keywords,video_title,video_channel,video_url
3/13/1965,Find My Way Back Home,The Nashville Teens,0,False,True,True,True,find my way back home,the nashville teens - topic,https://www.youtube.com/watch?v=Tnokm3WObhM
3/6/1965,For Mama (La Mamma),Connie Francis,2,False,True,True,True,for mama la mamma,connie francis - topic,https://www.youtube.com/watch?v=lNgJJwGH8NM
3/13/1965,Tired Of Waiting For You,The Kinks,2,False,False,True,True,tired of waiting for you,the kinks,https://www.youtube.com/watch?v=UbVEdAaC7L4
3/13/1965,I'm Telling You Now,Freddie And The Dreamers,4,False,True,True,True,i'm telling you now,freddie and the dreamers - topic,https://www.youtube.com/watch?v=ePDl6KdJVio
2/27/1965,Red Roses For A Blue Lady,Wayne Newton,0,False,False,True,True,wayne newton - red roses for a blue lady - hollywood palace 1965,the wayne newton show,https://www.youtube.com/watch?v=QalgV0i2oD4
3/13/1965,Baby The Rain Must Fall,Glenn Yarbrough,1,False,True,True,True,"baby the rain must fall (from the columbia film ""baby the rain must fall"")",glenn yarbrough - topic,https://www.youtube.com/watch?v=IoidePq4szw
3/13/1965,This Sporting Life,Ian Whitcomb And Bluesville,1,False,True,True,True,this sporting life,ian whitcomb and bluesville - topic,https://www.youtube.com/watch?v=fc_-kJvof1U
3/13/1965,Losing You,Dusty Springfield,5,False,True,True,True,losing you (bbc top gear 10/11/64),dusty springfield - topic,https://www.youtube.com/watch?v=4k5KExZf3WA
3/13/1965,One Kiss For Old Times' Sake,Ronnie Dove,0,False,False,True,True,ronnie dove - one kiss for old times' sake,ronnie dove music,https://www.youtube.com/watch?v=nATyxBiejRk
3/13/1965,Land Of A Thousand Dances (Part I),Thee Midniters,2,False,True,True,True,land of a thousand dances,thee midniters - topic,https://www.youtube.com/watch?v=clPwAHWroIA
3/13/1965,I Can't Stop Thinking Of You,Bobbi Martin,0,False,True,True,True,i can't stop thinking of you,bobbi martin - topic,https://www.youtube.com/watch?v=bkMFamrVT9k
3/13/1965,You Can Have Him,Dionne Warwick,1,False,False,True,True,you can have him,dionne warwick,https://www.youtube.com/watch?v=oJNFPxggJjQ
3/13/1965,Anytime At All,Frank Sinatra,0,False,False,True,True,any time at all,frank sinatra,https://www.youtube.com/watch?v=L2FeWC_4-Xs
3/20/1965,Game Of Love,Wayne Fontana & The Mindbenders,1,False,True,False,True,the game of love,wayne fontana and the mindbenders - topic,https://www.youtube.com/watch?v=rzh0TAon7Bc
3/13/1965,I Understand (Just How You Feel),Freddie And The Dreamers,1,False,True,True,True,i understand (just how you feel),freddie and the dreamers - topic,https://www.youtube.com/watch?v=Vq47gtoZbuY
3/13/1965,This Is It,Jim Reeves,1,False,True,True,True,this is it,jim reeves  - topic,https://www.youtube.com/watch?v=ikDrXgwf7Ck
3/20/1965,The Clapping Song (Clap Pat Clap Slap),Shirley Ellis,0,False,True,True,True,the clapping song (clap pat clap slap),shirley ellis - topic,https://www.youtube.com/watch?v=w8AwYcf2Hhk
3/20/1965,Not Too Long Ago,The Uniques Featuring Joe Stampley,1,False,True,True,True,not too long ago,the uniques - topic,https://www.youtube.com/watch?v=F-HBMRjPIps
3/20/1965,Bumble Bee,The Searchers,6,False,True,True,True,bumble bee,the searchers - topic,https://www.youtube.com/watch?v=N1hA66X_tgk
3/13/1965,Poor Man's Son,The Reflections,2,False,True,True,True,poor man's son,the reflections - topic,https://www.youtube.com/watch?v=5MuPQfRnzLM
3/20/1965,Teasin' You,Willie Tee,1,False,True,True,True,teasin' you,willie tee - topic,https://www.youtube.com/watch?v=RZm_VVHBFSE
3/20/1965,I'll Be Doggone,Marvin Gaye,0,False,False,True,True,i'll be doggone (juke box single),marvin gaye,https://www.youtube.com/watch?v=eDqxyR4jpBc
3/20/1965,Mean Old World,Rick Nelson,0,False,True,False,True,mean old world,ricky nelson - topic,https://www.youtube.com/watch?v=EPlYf_h-j8M
3/27/1965,All Of My Life,Lesley Gore,0,False,False,True,True,all of my life,lesley gore,https://www.youtube.com/watch?v=xtSxfdcBOG4
3/27/1965,I Do Love You,Billy Stewart,1,False,True,True,True,i do love you,billy stewart - topic,https://www.youtube.com/watch?v=3tizG-5_4kA
3/20/1965,Cast Your Fate To The Wind,Sounds Orchestral,2,False,True,True,True,cast your fate to the wind,sounds orchestral - topic,https://www.youtube.com/watch?v=nQCXL-xLplQ
3/27/1965,The Entertainer,Tony Clarke,1,False,True,True,True,the entertainer,tony clarke - topic,https://www.youtube.com/watch?v=GsvY0y90qgc
3/13/1965,10 Little Bottles,Johnny Bond,3,False,True,True,True,ten little bottles,johnny bond - topic,https://www.youtube.com/watch?v=rQTJr9r8-E0
3/20/1965,Come Back Baby,Roddie Joy,1,False,True,True,True,come back baby - original,roddie joy - topic,https://www.youtube.com/watch?v=oJv93d7Vmrk
3/13/1965,(Here They Come) From All Over The World,Jan & Dean,0,False,True,True,True,[here they come] from all over the world,jan & dean - topic,https://www.youtube.com/watch?v=OBTBP-unBCE
3/27/1965,Think Of The Good Times,Jay & The Americans,0,False,True,False,True,think of the good times,jay and the americans - topic,https://www.youtube.com/watch?v=ov35TMzSYFg
3/27/1965,Crazy Downtown,Allan Sherman,1,False,False,True,True,downtown,the allan sherman show,https://www.youtube.com/watch?v=JzN2rOP9-is
3/27/1965,The Barracuda,Alvin Cash & The Crawlers,1,False,True,True,True,the barracuda,alvin cash - topic,https://www.youtube.com/watch?v=Aas7D-rzUZU
4/3/1965,(The Bees Are For The Birds) The Birds Are For The Bees,The Newbeats,0,False,True,True,True,[the bees are for the birds] the birds are for the bees,the newbeats - topic,https://www.youtube.com/watch?v=ZWj4-ZeTDWA
3/13/1965,Goldfinger,John Barry and His Orchestra,0,False,True,True,True,goldfinger,john barry - topic,https://www.youtube.com/watch?v=hWqv974oYhk
4/3/1965,Silhouettes,Herman's Hermits,0,False,False,True,True,silhouettes,herman's hermits,https://www.youtube.com/watch?v=uI6EjGL9hTg
3/27/1965,The Last Time,The Rolling Stones,2,False,False,True,True,the last time (mono),the rolling stones,https://www.youtube.com/watch?v=ycoJSzjJDJc
4/3/1965,She's About A Mover,Sir Douglas Quintet,3,False,True,True,True,she's about a mover,sir douglas quintet - topic,https://www.youtube.com/watch?v=E01VREZvyeo
3/27/1965,We're Gonna Make It,Little Milton,3,False,True,True,True,we're gonna make it,little milton - topic,https://www.youtube.com/watch?v=sALZWlgLAqc
4/3/1965,It's Growing,The Temptations,2,False,False,True,True,it's growing,the temptations,https://www.youtube.com/watch?v=tze1ldDYBAk
4/3/1965,Dear Dad,Chuck Berry,1,False,False,True,True,dear dad,chuck berry,https://www.youtube.com/watch?v=5KGcwubwxhs
4/3/1965,Woman's Got Soul,The Impressions,0,False,True,True,True,woman's got soul,the impressions - topic,https://www.youtube.com/watch?v=4qYCPGNAOGk
4/3/1965,The Record (Baby I Love You),Ben E. King,2,False,False,True,True,the record (baby i love you),ben e. king,https://www.youtube.com/watch?v=cdOw5YninWs
4/3/1965,Out In The Streets,The Shangri-Las,1,False,True,True,True,out in the streets,the shangri-las - topic,https://www.youtube.com/watch?v=NrICMb-VIGc
4/3/1965,"(See You At The) ""Go-Go""",Dobie Gray,2,False,True,True,True,see you at the go go,dobie gray - topic,https://www.youtube.com/watch?v=uxktEKg56Bs
4/3/1965,Hawaii Honeymoon,The Waikikis,0,False,True,False,True,hawaiian honeymoon,the waikiki beach boys - topic,https://www.youtube.com/watch?v=NYK0LnNKSuo
4/3/1965,Wooly Bully,Sam The Sham and the Pharaohs,2,False,True,True,True,wooly bully (rerecorded),sam the sham and the pharaohs - topic,https://www.youtube.com/watch?v=kJbGfywArcY
4/3/1965,Why Did I Choose You,Barbra Streisand,0,False,False,True,True,why did i choose you,barbra streisand,https://www.youtube.com/watch?v=XJ7Rj4sKmGc
4/3/1965,Iko Iko,The Dixie Cups,3,False,True,True,True,iko iko - original,the dixie cups - topic,https://www.youtube.com/watch?v=OuC519ni1aE
4/3/1965,Goodbye My Lover Goodbye,The Searchers,2,False,True,True,True,goodbye my love,the searchers - topic,https://www.youtube.com/watch?v=Az4OdyTppUY
4/3/1965,Let's Do The Freddie,Chubby Checker,1,False,False,True,True,let's do the freddie,chubby checker,https://www.youtube.com/watch?v=83pGzcvO-u8
4/10/1965,Don't Let Your Left Hand Know,Joe Tex,0,False,True,True,True,don't let your left hand know,joe tex & the vibrators - topic,https://www.youtube.com/watch?v=XBzMDGeMU3E
4/3/1965,......And Roses And Roses,Andy Williams,0,False,False,True,True,... and roses and roses,andy williams,https://www.youtube.com/watch?v=TXVTol6YVg0
4/10/1965,It's Got The Whole World Shakin',Sam Cooke,0,False,False,True,True,it's got the whole world shakin',sam cooke,https://www.youtube.com/watch?v=7c7Hegjl82w
4/3/1965,Subterranean Homesick Blues,Bob Dylan,1,False,False,True,True,subterranean homesick blues,bob dylan,https://www.youtube.com/watch?v=1I_oWQmddMk
